File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
FTP-Patator,Naive Bayes,0.6828721017202692,0.7410386326056008,0.7739224368937242,0.6802750065388783,0.009518861770629883
FTP-Patator,QDA,0.9975691847419597,0.9977239172298735,0.9964524492202155,0.9970853219144225,0.009418964385986328
FTP-Patator,Random Forest,0.9992520568436799,0.9987437185929648,0.999468085106383,0.9991049701935661,0.03229999542236328
FTP-Patator,ID3,0.9986910994764397,0.998162491403016,0.9987053834610644,0.9984334135694858,0.013210058212280273
FTP-Patator,AdaBoost,0.9988780852655198,0.9981179422835633,0.9992021276595744,0.9986579420071011,0.23181700706481934
FTP-Patator,MLP,0.9966342557965595,0.9949122865528282,0.9970607347660646,0.9959781920614665,1.0481209754943848
FTP-Patator,Nearest Neighbors,0.9985041136873598,0.9976710747348374,0.9987542874752131,0.9982105893428015,0.14969491958618164
PortScan,Naive Bayes,0.4167062704425373,0.6575283206488738,0.5830609549296093,0.39924772318059054,0.10988807678222656
PortScan,QDA,0.8236094415401676,0.8118512034619436,0.8724552365392182,0.8132265030571963,0.12654900550842285
PortScan,Random Forest,0.9949213981530662,0.9950982784653198,0.99271155992272,0.9938948595109443,1.0184330940246582
PortScan,ID3,0.9970832983888253,0.9967139001557191,0.99628808494854,0.9965006719236491,0.49798107147216797
PortScan,AdaBoost,0.9943063748101348,0.993052551510139,0.9932949553020222,0.9931736482410568,5.4170310497283936
PortScan,MLP,0.7038010306300262,0.3519005153150131,0.5,0.4130770072194268,7.7119200229644775
PortScan,Nearest Neighbors,0.9758184003801963,0.9675439363492986,0.975159163933645,0.9712371650016279,2.9835782051086426
DoS Slowhttptest,Naive Bayes,0.9256198347107438,0.9249422410473623,0.8965415019762846,0.9090343777843778,0.007417201995849609
DoS Slowhttptest,QDA,0.9393939393939394,0.9359524400565862,0.9190118577075099,0.9268741319393574,0.007128000259399414
DoS Slowhttptest,Random Forest,0.974931129476584,0.9778307247577036,0.9627470355731225,0.9698597937056943,0.033982276916503906
DoS Slowhttptest,ID3,0.9774104683195592,0.9810049747549747,0.9655533596837944,0.9728333089953272,0.018627166748046875
DoS Slowhttptest,AdaBoost,0.9696969696969697,0.9681357986026757,0.9597628458498024,0.9638105554631107,0.20391297340393066
DoS Slowhttptest,MLP,0.7085399449035813,0.6923433048433049,0.5291106719367589,0.4788106611659972,0.6361231803894043
DoS Slowhttptest,Nearest Neighbors,0.9787878787878788,0.9752400492172422,0.974505928853755,0.9748719165371126,0.1171410083770752
DoS Hulk,Naive Bayes,0.44943202065606774,0.6720431839858667,0.6128474119254285,0.4402028602475879,0.1625828742980957
DoS Hulk,QDA,0.7147599607384669,0.8463174545350217,0.5064667070049081,0.4293367656536152,0.19952821731567383
DoS Hulk,Random Forest,0.9631204166223828,0.9743791347575993,0.9369045209400826,0.9533520349491822,1.3092329502105713
DoS Hulk,ID3,0.9849955924552838,0.9777023461485848,0.9863856988120925,0.9819081503351237,0.6034908294677734
DoS Hulk,AdaBoost,0.9864710258638475,0.9786550081061366,0.9891830537181912,0.9837187450238893,8.557411193847656
DoS Hulk,MLP,0.782461097947522,0.8556514529840806,0.6282694164808756,0.6389373580978253,13.779930114746094
DoS Hulk,Nearest Neighbors,0.9922414709320863,0.990132079205526,0.9910054449853335,0.9905674639303655,5.712943077087402
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.00416874885559082
Heartbleed,QDA,1.0,1.0,1.0,1.0,0.0032820701599121094
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.008759021759033203
Heartbleed,ID3,1.0,1.0,1.0,1.0,0.0033609867095947266
Heartbleed,AdaBoost,1.0,1.0,1.0,1.0,0.0038819313049316406
Heartbleed,MLP,0.6666666666666666,0.375,0.42857142857142855,0.4,0.005269050598144531
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.004815101623535156
DoS slowloris,Naive Bayes,0.560289181513039,0.7024807826694619,0.6862564480471629,0.55964615299877,0.012846946716308594
DoS slowloris,QDA,0.9512006196746708,0.933568513596154,0.9552934866855337,0.9432965433291711,0.009142875671386719
DoS slowloris,Random Forest,0.9654014975471211,0.9481825212683681,0.975313190862196,0.9600195302509351,0.03418397903442383
DoS slowloris,ID3,0.973147430932094,0.974417551591557,0.961313147626184,0.9675462129191198,0.015281200408935547
DoS slowloris,AdaBoost,0.9604957397366383,0.9465667213324351,0.9619257637673317,0.9537193045348629,0.2371511459350586
DoS slowloris,MLP,0.8838109992254066,0.8555042180697455,0.8876825370383205,0.8679306906084047,0.6761298179626465
DoS slowloris,Nearest Neighbors,0.9715982442550994,0.9640823732316277,0.9686117679523234,0.9663055018449997,0.09315800666809082
Bot,Naive Bayes,0.5285605483625285,0.6941699604743083,0.6635869565217392,0.5262345490103497,0.006429910659790039
Bot,QDA,0.6686976389946687,0.7373188405797102,0.7635869565217391,0.6670630514046885,0.00555109977722168
Bot,Random Forest,0.9611576542269612,0.9517018072289156,0.956249308551831,0.953932011483459,0.017371177673339844
Bot,ID3,0.9824828636709825,0.972873778164681,0.9867712136298263,0.9794275351804203,0.007863998413085938
Bot,AdaBoost,0.9878141660319878,0.980440097799511,0.991304347826087,0.9856389727435797,0.10294389724731445
Bot,MLP,0.738004569687738,0.7658016147635525,0.8123146918906958,0.7326979708168812,0.14293694496154785
Bot,Nearest Neighbors,0.9824828636709825,0.9756600660066006,0.9831272817789578,0.9792833019942884,0.034362077713012695
Infiltration,Naive Bayes,0.9166666666666666,0.9473684210526316,0.8571428571428572,0.8888888888888888,0.003620147705078125
Infiltration,QDA,0.2916666666666667,0.14583333333333334,0.5,0.22580645161290322,0.003354310989379883
Infiltration,Random Forest,0.875,0.8611111111111112,0.8277310924369747,0.8417582417582418,0.01791524887084961
Infiltration,ID3,0.9583333333333334,0.9375,0.9705882352941176,0.9515151515151515,0.009984970092773438
Infiltration,AdaBoost,1.0,1.0,1.0,1.0,0.03737974166870117
Infiltration,MLP,0.7083333333333334,0.3541666666666667,0.5,0.4146341463414634,0.007627010345458984
Infiltration,Nearest Neighbors,0.8333333333333334,0.8181818181818181,0.8823529411764706,0.8222222222222222,0.0044977664947509766
DDoS1,Naive Bayes,0.710501910040409,0.7470285185042257,0.7982037587156952,0.7042750385335579,0.10872602462768555
DDoS1,QDA,0.9598229072360721,0.9377914933670128,0.9719706728442001,0.9524188541657533,0.11361217498779297
DDoS1,Random Forest,0.9994038024157043,0.9995253470424326,0.999004675743256,0.9992645847590179,0.4880490303039551
DDoS1,ID3,0.9994700465917371,0.9994648194593976,0.999228323481234,0.9993464833805188,0.20430421829223633
DDoS1,AdaBoost,0.9989400931834743,0.9985288453908516,0.998858916533305,0.9986937087171258,3.0311968326568604
DDoS1,MLP,0.9993817210236934,0.9994862240619389,0.9989892837870924,0.9992373652327904,6.911848068237305
DDoS1,Nearest Neighbors,0.9995142093757591,0.9996378518255805,0.9991644557298351,0.999400801169241,5.280356168746948
DoS GoldenEye,Naive Bayes,0.9579575210939774,0.9546863196740598,0.944414688798815,0.9493407196203276,0.009952068328857422
DoS GoldenEye,QDA,0.750363689263893,0.8686265502985759,0.5832928606119475,0.5671763042520093,0.010421991348266602
DoS GoldenEye,Random Forest,0.9956357288332849,0.9949362011810181,0.9946608285081275,0.9947983761610957,0.05379986763000488
DoS GoldenEye,ID3,0.995781204538842,0.9938352404381723,0.9961546123520224,0.9949849753790936,0.027317047119140625
DoS GoldenEye,AdaBoost,0.9962176316555136,0.9960435597630524,0.9949372029793975,0.9954881554107853,0.4156837463378906
DoS GoldenEye,MLP,0.9060226942100669,0.8797695055936323,0.9262462446105717,0.8952327969227168,2.1120948791503906
DoS GoldenEye,Nearest Neighbors,0.9748327029386092,0.966515883347489,0.9742516329040956,0.9702616611815128,0.17298579216003418
SSH-Patator,Naive Bayes,0.793727689954105,0.7961069879989346,0.8520501101268801,0.7857019210383789,0.008302927017211914
SSH-Patator,QDA,0.3006119326874044,0.1503059663437022,0.5,0.23113115075475396,0.00763702392578125
